Period,Thousands
Nov to Jan 2024,916
Dec to Feb 2024,904
Jan to Mar 2024,905
Feb to Apr 2024,892
Mar to May 2024,886
Apr to Jun 2024,870
May to Jul 2024,863
Jun to Aug 2024,847
Jul to Sep 2024,832
Aug to Oct 2024,822
Sep to Nov 2024,807
Oct to Dec 2024,803
Nov to Jan 2025,799
Dec to Feb 2025,799
Jan to Mar 2025,783
Feb to Apr 2025,762
Mar to May 2025,739
Apr to Jun 2025,726
May to Jul 2025,722
Jun to Aug 2025,731
Jul to Sep 2025,725
Aug to Oct 2025,724
Sep to Nov 2025,726
Oct to Dec 2025,736
Nov to Jan 2026,726